Sl. No.,District,AREA,PRODN.,PTY.
1,Ariyalur,NA,NA,NA
2,Coimbatore,11186,150340,13
3,Cuddalore,NA,NA,NA
4,Dharmapuri,NA,NA,NA
5,Dindigul,3,40,13.44
6,Erode,NA,NA,NA
7,Kancheepuram,NA,NA,NA
8,Kanyakumari,202,2715,13.44
9,Karur,NA,NA,NA
10,Krishnagiri,NA,NA,NA
11,Madurai,NA,NA,NA
12,Nagapattinam,NA,NA,NA
13,Namakkal,NA,NA,NA
14,Perambalur,NA,NA,NA
15,Pudukkottai,NA,NA,NA
16,Ramanadhapuram,NA,NA,NA
17,Salem,NA,NA,NA
18,Sivagangai,NA,NA,NA
19,Thanjavur,NA,NA,NA
20,Theni,1676,22525,13
21,The Nilgiris,55779,749670,13.44
22,Tiruvallur,NA,NA,NA
23,Thiruvarur,NA,NA,NA
24,Tiruvannamalai,NA,NA,NA
25,Thoothukudi,NA,NA,NA
26,Tirupur,NA,NA,NA
27,Trichy,NA,NA,NA
28,Tirunelveli,804,10806,13.44
29,Vellore,NA,NA,NA
30,Villupuram,NA,NA,NA
31,Virudhunagar,NA,NA,NA
Total,State Total,69650,936096,13.44
